"CIVIC";2;7;4;2;0;0;2;8;2;12;0;40;3;0;0;0;0;0;0;0;5;0;0;1;1;3;4;3;5;6;4;5;5;7;4;7;3;5;3;5;3;2;3;4;4;3;2.0;4.0;3.0;3.0;3.0;4.0;5.0;6.0;8.0;10.0;8.0;12.0;9.0;9.0;9.0;11.0;12.0;9.0;8.0;11.0;9.0;7.0;8.0;9.0;7.0;7.0;6.0;6.0;7.0;6.0;8.0;8.0;7.0;6.0;6.0;5.0;4.0;6.0;4.0;5.0;5.0;3.0;2.0;5.0;4.0;6.0;5.0;4.0;3.0;6.0
"EATING_DRINKING";3;1;4;2;6;2;3;4;6;0;0;0;6;10;11;0;0;14;12;0;9;20;16;16;13;19;17;11;11;11;9;7;8;7;9;1;9;7;10;8;19;15;19;21;28;23;34.0;31.0;35.0;26.0;20.0;12.0;17.0;12.0;9.0;8.0;9.0;5.0;8.0;5.0;6.0;8.0;7.0;11.0;9.0;8.0;11.0;13.0;16.0;16.0;20.0;18.0;22.0;19.0;20.0;16.0;18.0;11.0;15.0;11.0;16.0;13.0;9.0;10.0;5.0;11.0;7.0;5.0;3.0;5.0;4.0;5.0;2.0;2.0;1.0;2.0
"EDUCATION";5;4;5;7;0;0;0;0;8;0;0;0;3;0;0;0;1;0;12;25;8;20;5;7;4;7;5;13;11;26;27;38;41;36;39;36;39;36;32;35;29;31;28;35;28;32;25.0;26.0;21.0;28.0;35.0;36.0;35.0;30.0;27.0;23.0;17.0;14.0;12.0;12.0;13.0;10.0;10.0;8.0;12.0;10.0;13.0;10.0;9.0;10.0;10.0;11.0;10.0;10.0;10.0;12.0;12.0;14.0;12.0;10.0;10.0;12.0;11.0;10.0;8.0;9.0;5.0;9.0;6.0;6.0;7.0;4.0;6.0;6.0;6.0;7.0
"HOME JOB ACTIVITY";0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
"HOME LEISURE";12;12;11;12;10;8;15;4;10;8;10;0;6;20;6;0;0;0;6;0;3;0;8;7;4;8;4;4;4;3;4;3;2;3;4;3;3;6;4;3;4;2;6;5;4;2;3.0;2.0;3.0;3.0;4.0;3.0;6.0;6.0;4.0;9.0;7.0;5.0;9.0;10.0;9.0;11.0;12.0;13.0;12.0;14.0;11.0;13.0;13.0;12.0;10.0;11.0;11.0;16.0;13.0;16.0;17.0;19.0;18.0;19.0;20.0;19.0;23.0;23.0;20.0;24.0;19.0;24.0;14.0;17.0;14.0;15.0;14.0;16.0;9.0;9.0
"HOUSE ACTIVITY";15;11;11;11;15;2;7;0;14;4;14;20;18;0;11;0;1;0;47;25;55;28;56;36;59;29;38;22;25;9;13;8;12;8;11;4;11;3;12;5;10;11;6;3;2;4;5.0;3.0;2.0;2.0;1.0;3.0;4.0;2.0;5.0;3.0;4.0;8.0;6.0;5.0;5.0;6.0;6.0;6.0;6.0;7.0;7.0;7.0;4.0;6.0;7.0;8.0;7.0;7.0;8.0;5.0;6.0;8.0;11.0;7.0;10.0;10.0;11.0;10.0;16.0;9.0;16.0;16.0;15.0;14.0;16.0;12.0;16.0;18.0;19.0;15.0
"HOUSEHOLD MEMBER CARING";1;0;2;0;3;0;3;0;2;0;5;0;9;20;11;0;0;0;0;25;2;12;3;5;5;4;4;4;4;2;2;1;2;2;2;4;1;1;2;2;2;3;1;1;1;1;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;4.0;2.0;2.0;3.0;1.0;2.0;1.0;2.0;2.0;3.0;1.0;3.0;3.0;3.0;3.0;2.0;3.0;2.0;2.0;4.0;4.0;4.0;4.0;3.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0
"RELIGION";1;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;4;3;2;3;1;2;1;2;2;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
"SHOPPING";2;0;1;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;2;2;1;3;2;3;2;4;5;5;2;6;10;4;3;5;7.0;7.0;9.0;10.0;9.0;6.0;8.0;11.0;7.0;11.0;8.0;8.0;4.0;5.0;7.0;6.0;5.0;7.0;6.0;9.0;8.0;8.0;8.0;11.0;10.0;10.0;7.0;10.0;7.0;8.0;6.0;10.0;6.0;8.0;6.0;7.0;5.0;4.0;7.0;5.0;3.0;3.0;1.0;5.0;2.0;2.0;2.0;2.0;1.0;3.0
"SLEEP";47;47;47;46;55;65;59;68;50;71;71;40;47;40;44;80;97;14;12;0;3;8;3;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;1;1;0;0;1;0;1;1;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;4.0;1.0;3.0;1.0;2.0;3.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;4.0;4.0;5.0;8.0;10.0;14.0;18.0;17.0;39.0;30.0;31.0;37.0;38.0;39.0;42.0;44.0
