"CIVIC";13;14;14;11;10;11;10;11;9;11;14;14;10;16;9;7;1;14;18;17;8;16;13;16;10;10;12;18;13;17;16;23;14;22;18;24;18;19;19;22;19;19;18;17;16;20;16;19;15;16;16;16;16;17;16;15;15;17;16;17;19;17.0;19.0;18.0;16.0;15.0;17.0;15.0;15.0;16.0;15.0;15.0;15.0;17.0;14.0;13.0;13.0;15.0;14.0;13.0;14.0;11.0;14.0;13.0;12.0;12.0;11.0;11.0;10.0;9.0;11.0;13.0;11.0;13.0;12.0;13.0
"EATING_DRINKING";2;4;3;4;3;2;2;4;2;3;1;1;5;7;7;11;0;7;14;17;23;22;22;17;24;24;29;22;28;22;25;15;27;17;19;11;19;9;15;8;12;7;12;7;12;11;14;16;20;15;16;13;15;11;12;8;12;8;7;7;9;7.0;8.0;7.0;11.0;10.0;12.0;12.0;17.0;17.0;17.0;17.0;21.0;17.0;20.0;14.0;15.0;14.0;13.0;12.0;11.0;10.0;9.0;7.0;5.0;6.0;4.0;5.0;3.0;4.0;3.0;2.0;2.0;3.0;2.0;3.0
"EDUCATION";0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
"HOME JOB ACTIVITY";0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"HOME LEISURE";7;11;11;10;6;9;6;4;11;7;6;16;9;1;10;5;1;12;10;3;8;10;11;6;11;13;10;9;9;11;8;8;8;10;10;7;8;8;7;9;7;8;7;7;7;6;8;5;6;5;7;8;7;6;7;6;7;8;8;7;7;7.0;7.0;9.0;7.0;9.0;10.0;8.0;7.0;8.0;8.0;8.0;7.0;10.0;8.0;12.0;12.0;14.0;14.0;18.0;16.0;19.0;19.0;21.0;18.0;22.0;18.0;18.0;16.0;19.0;11.0;15.0;11.0;12.0;11.0;13.0
"HOUSE ACTIVITY";10;11;11;14;10;11;11;10;11;8;13;11;11;10;14;5;1;17;22;17;22;18;24;20;28;17;24;15;24;15;21;16;21;13;18;10;16;11;12;11;13;10;12;9;9;8;10;8;8;7;7;6;7;8;6;6;7;6;7;7;7;7.0;7.0;8.0;7.0;8.0;8.0;9.0;7.0;8.0;7.0;7.0;6.0;7.0;7.0;7.0;6.0;7.0;6.0;6.0;7.0;8.0;7.0;10.0;9.0;9.0;12.0;12.0;11.0;11.0;11.0;14.0;11.0;14.0;12.0;12.0
"HOUSEHOLD MEMBER CARING";2;2;1;3;5;0;4;3;5;1;4;3;7;6;7;2;0;14;5;3;9;4;9;4;8;8;9;7;6;8;8;6;5;5;5;7;4;4;4;3;3;3;3;3;2;4;2;2;2;3;2;2;3;2;3;2;2;3;2;2;2;4.0;2.0;2.0;3.0;3.0;2.0;3.0;3.0;2.0;2.0;3.0;2.0;2.0;2.0;3.0;3.0;4.0;5.0;5.0;5.0;6.0;6.0;6.0;7.0;7.0;6.0;6.0;4.0;5.0;4.0;2.0;3.0;3.0;3.0;3.0
"RELIGION";1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;2;1;0;6;1;1;1;4;2;3;3;4;2;3;3;6;5;8;6;8;6;6;6;8;5;3;3;3;3;2;2;1;1;1;1;1;2;0;1;1;1;0.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
"SHOPPING";2;1;2;1;1;5;3;1;1;2;4;6;3;4;3;3;0;0;2;10;2;1;1;6;2;4;2;4;3;4;4;7;5;9;7;11;7;13;11;13;12;18;14;16;15;16;13;13;12;17;14;15;13;16;15;18;13;16;17;16;12;15.0;13.0;17.0;13.0;14.0;11.0;14.0;9.0;10.0;10.0;11.0;8.0;10.0;8.0;9.0;7.0;8.0;9.0;9.0;6.0;8.0;6.0;7.0;4.0;5.0;4.0;4.0;3.0;3.0;2.0;3.0;2.0;2.0;1.0;2.0
"SLEEP";45;35;39;38;48;46;48;56;43;54;43;41;46;51;42;49;95;29;14;20;11;11;6;6;3;5;1;2;0;1;1;0;1;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;2;2;2;2;2;2;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;4.0;3.0;5.0;4.0;13.0;10.0;17.0;16.0;28.0;25.0;35.0;28.0;40.0;35.0;41.0;39.0
