"CIVIC";3;5;2;2;2;7;5;5;1;3;1;5;2;2;1;0;0;2;1;1;1;2;1;1;1;2;3;4;4;6;7;7;5;5;4;6;3;3;2;3;3;3;3;3;3;3;2;3;2;2;2;4;1;2;3;3;2;4;4;4;5;8;7;8;4;5;6;9;7;8;7;7;6;8;6;7;5.0;4.0;5.0;5.0;5.0;4.0;4.0;6.0;4.0;6.0;4.0;4.0;3.0;3.0;4.0;3.0;2.0;3.0;2.0;2.0
"EATING_DRINKING";4;5;3;7;7;5;5;2;7;3;7;8;11;10;12;12;1;19;17;16;15;16;14;14;14;15;15;12;12;10;9;7;9;7;7;7;18;8;16;7;18;9;18;12;32;16;37;25;49;25;24;15;24;15;19;10;17;8;15;6;14;7;9;7;12;8;8;12;14;14;15;17;21;22;21;23;21.0;23.0;18.0;16.0;15.0;14.0;14.0;12.0;9.0;8.0;7.0;6.0;5.0;5.0;4.0;3.0;3.0;4.0;3.0;6.0
"EDUCATION";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"HOME JOB ACTIVITY";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0;1;0;0;1;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"HOME LEISURE";9;14;12;13;14;9;13;8;8;6;14;4;11;10;8;12;1;7;6;4;5;5;4;5;3;4;3;4;2;3;2;2;3;3;6;5;12;5;13;7;21;4;13;6;8;4;5;3;4;3;2;3;4;2;5;4;10;6;8;8;12;5;9;6;9;7;6;8;6;7;6;8;7;9;9;11;11.0;13.0;15.0;17.0;18.0;18.0;17.0;18.0;20.0;23.0;19.0;18.0;18.0;20.0;16.0;17.0;12.0;15.0;10.0;13.0
"HOUSE ACTIVITY";10;13;11;12;9;11;9;14;11;15;10;12;19;12;23;15;6;26;30;23;40;24;38;23;33;16;22;10;17;9;12;6;10;6;6;5;7;6;7;3;7;5;7;5;5;2;3;3;2;2;2;3;3;4;3;3;4;4;6;5;6;4;5;10;7;9;8;9;7;9;9;7;7;10;8;9;7.0;8.0;7.0;8.0;8.0;9.0;10.0;12.0;11.0;11.0;12.0;15.0;12.0;16.0;13.0;16.0;13.0;15.0;13.0;13.0
"HOUSEHOLD MEMBER CARING";3;3;4;2;5;2;4;2;7;3;4;2;5;2;6;0;0;2;5;3;4;4;6;6;6;7;8;8;6;5;5;4;2;2;2;1;3;1;1;1;2;1;1;3;1;2;1;1;0;1;1;0;0;2;0;1;1;2;1;3;1;2;1;2;2;3;3;4;2;4;3;4;3;5;4;6;5.0;8.0;6.0;9.0;9.0;11.0;10.0;9.0;9.0;7.0;6.0;4.0;4.0;4.0;2.0;4.0;3.0;3.0;2.0;3.0
"RELIGION";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
"SHOPPING";1;2;1;3;2;3;2;3;2;0;1;2;0;2;1;0;0;1;2;3;1;3;1;3;2;3;2;3;2;3;3;4;2;5;5;5;3;3;5;6;5;5;7;7;6;8;8;8;9;10;7;8;6;7;6;6;6;7;5;5;6;6;6;7;7;9;8;7;8;9;9;9;8;10;9;11;8.0;9.0;9.0;10.0;9.0;9.0;8.0;8.0;4.0;5.0;4.0;5.0;2.0;3.0;2.0;3.0;2.0;3.0;3.0;2.0
"SLEEP";47;38;39;40;42;42;36;36;38;43;31;35;27;32;22;26;82;6;3;1;1;1;0;0;0;1;1;0;1;1;1;1;1;2;1;2;1;3;2;1;1;2;2;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;0;0;1;1.0;1.0;2.0;2.0;4.0;4.0;6.0;5.0;13.0;11.0;21.0;18.0;33.0;27.0;39.0;32.0;44.0;39.0;43.0;47.0
