"CIVIC";4;5;3;6;4;6;2;6;5;4;1;5;2;2;4;7;0;2;2;3;1;2;2;3;2;4;3;5;5;9;9;9;6;8;7;6;4;4;5;4;4;4;4;5;4;5;4;4;3;4;3;4;3;5;5.0;6.0;6.0;7.0;9.0;10.0;11.0;11.0;11.0;11.0;11.0;12.0;11.0;12.0;11.0;11.0;10.0;9.0;7.0;9.0;7.0;8.0;7.0;6.0;6.0;7.0;6.0;6.0;5.0;6.0;4.0;5.0;4.0;5.0;3.0;4.0;3.0;5.0;3.0;4.0;4.0;4.0
"EATING_DRINKING";4;5;4;4;7;5;8;6;10;7;8;5;8;6;9;8;1;20;18;18;17;20;16;17;16;19;18;15;15;13;12;9;10;8;10;8;16;7;15;9;16;8;15;8;26;16;32;23;40;26;24;15;20;13;14.0;8.0;11.0;7.0;7.0;6.0;8.0;6.0;7.0;8.0;9.0;10.0;10.0;13.0;15.0;18.0;20.0;22.0;25.0;23.0;23.0;20.0;19.0;16.0;15.0;13.0;12.0;10.0;10.0;9.0;6.0;5.0;5.0;5.0;4.0;4.0;3.0;4.0;3.0;3.0;3.0;4.0
"EDUCATION";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"HOME JOB ACTIVITY";0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"HOME LEISURE";11;14;12;15;15;12;11;13;13;11;11;6;12;9;11;8;1;11;8;8;7;7;7;7;5;7;6;7;4;5;4;4;4;5;7;5;11;7;15;9;19;7;15;8;10;7;6;6;5;5;4;5;6;6;7.0;8.0;12.0;9.0;13.0;9.0;12.0;9.0;10.0;11.0;10.0;11.0;10.0;11.0;10.0;10.0;11.0;12.0;12.0;14.0;14.0;17.0;18.0;20.0;21.0;22.0;24.0;25.0;22.0;24.0;22.0;25.0;21.0;23.0;18.0;19.0;15.0;17.0;14.0;17.0;13.0;15.0
"HOUSE ACTIVITY";12;10;12;12;10;9;9;12;10;10;10;10;15;11;21;19;3;27;34;23;42;26;38;25;39;19;28;14;22;11;13;9;13;8;10;6;10;7;8;5;9;5;7;7;7;6;4;5;3;4;3;4;3;5;5.0;7.0;6.0;7.0;7.0;8.0;7.0;7.0;7.0;10.0;7.0;9.0;8.0;9.0;6.0;9.0;7.0;8.0;7.0;7.0;8.0;7.0;7.0;7.0;8.0;8.0;9.0;9.0;11.0;11.0;12.0;12.0;14.0;14.0;13.0;14.0;14.0;13.0;13.0;14.0;11.0;12.0
"HOUSEHOLD MEMBER CARING";2;4;4;3;6;2;5;2;8;2;4;3;9;2;6;3;0;3;4;4;6;6;6;6;9;11;10;11;9;8;7;5;4;4;3;3;3;1;2;2;2;2;2;1;2;2;1;2;1;2;1;1;1;2;1.0;2.0;1.0;2.0;2.0;3.0;2.0;4.0;3.0;4.0;3.0;4.0;4.0;5.0;3.0;5.0;4.0;5.0;4.0;5.0;5.0;5.0;6.0;8.0;8.0;8.0;9.0;11.0;11.0;12.0;9.0;9.0;7.0;6.0;4.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0
"RELIGION";0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;2;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
"SHOPPING";1;4;2;2;1;1;2;4;2;2;4;1;1;2;0;1;0;1;3;4;2;3;2;2;1;4;3;3;2;3;3;3;3;4;4;5;5;7;5;6;5;7;7;7;8;12;10;12;9;11;9;10;7;9;9.0;11.0;8.0;10.0;10.0;12.0;11.0;13.0;12.0;14.0;13.0;14.0;13.0;14.0;12.0;14.0;12.0;13.0;10.0;12.0;10.0;11.0;9.0;10.0;10.0;10.0;7.0;8.0;7.0;7.0;5.0;6.0;5.0;4.0;2.0;3.0;3.0;3.0;2.0;3.0;2.0;4.0
"SLEEP";49;38;44;37;43;42;42;30;35;37;41;45;35;45;27;28;91;10;5;3;2;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;2.0;4.0;3.0;6.0;6.0;17.0;12.0;22.0;20.0;37.0;31.0;41.0;35.0;46.0;38.0;47.0;39.0
