"CIVIC";4;10;3;5;1;3;3;2;1;5;2;0;2;3;1;2;0;0;3;10;3;3;1;3;2;3;2;6;4;7;6;10;6;8;8;12;6;7;6;5;6;7;6;7;6;6;7;8;5;6;5;5;5;7;7;9;7;9;8;12;10;13.0;9.0;9.0;8.0;8.0;6.0;7.0;6.0;8.0;5.0;6.0;5.0;5.0;4.0;6.0;4.0;5.0;5.0;5.0;4.0;6.0;4.0;4.0;3.0;4.0;3.0;2.0;2.0;4.0;2.0;5.0;3.0;3.0;3.0;4.0
"EATING_DRINKING";2;1;1;2;2;3;1;2;4;3;4;5;6;5;7;6;1;11;18;10;28;21;26;24;28;30;31;22;31;21;27;20;27;16;19;11;21;11;14;8;15;9;10;10;17;15;20;20;33;22;21;17;20;12;14;11;13;9;9;7;12;9.0;11.0;12.0;20.0;15.0;22.0;18.0;31.0;24.0;32.0;26.0;32.0;24.0;25.0;20.0;22.0;16.0;15.0;12.0;13.0;9.0;9.0;7.0;6.0;6.0;5.0;5.0;4.0;4.0;2.0;3.0;2.0;1.0;2.0;4.0
"EDUCATION";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"HOME JOB ACTIVITY";0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"HOME LEISURE";11;15;9;13;8;8;13;6;14;8;9;9;14;7;12;2;1;20;6;12;11;10;15;12;11;10;9;8;8;7;7;7;6;6;7;7;7;7;6;7;5;5;7;6;7;6;6;5;6;5;7;7;7;8;8;8;9;8;8;8;11;9.0;10.0;8.0;12.0;10.0;11.0;11.0;11.0;11.0;12.0;11.0;13.0;14.0;16.0;16.0;19.0;21.0;24.0;23.0;24.0;28.0;23.0;24.0;22.0;26.0;20.0;23.0;17.0;19.0;18.0;18.0;14.0;15.0;13.0;15.0
"HOUSE ACTIVITY";12;12;19;14;16;12;15;11;19;15;16;7;19;12;19;20;2;9;19;23;22;20;20;15;22;18;22;18;21;16;21;14;19;15;18;16;16;14;15;15;16;16;14;13;13;13;13;11;11;13;13;13;12;12;12;14;13;14;14;12;13;12.0;14.0;11.0;15.0;13.0;12.0;11.0;12.0;12.0;9.0;10.0;10.0;10.0;10.0;11.0;12.0;11.0;11.0;13.0;12.0;11.0;14.0;17.0;16.0;16.0;18.0;20.0;18.0;19.0;18.0;17.0;16.0;18.0;14.0;12.0
"HOUSEHOLD MEMBER CARING";3;3;5;4;5;6;7;6;5;2;16;7;9;2;13;4;1;2;5;2;9;11;10;11;12;10;11;14;11;10;8;8;5;6;5;4;4;4;4;4;3;3;3;2;2;3;3;3;2;2;4;3;3;3;3;3;4;4;4;4;3;4.0;4.0;5.0;4.0;4.0;4.0;4.0;3.0;4.0;2.0;5.0;4.0;4.0;5.0;5.0;5.0;7.0;6.0;9.0;11.0;11.0;11.0;10.0;9.0;8.0;8.0;9.0;5.0;5.0;6.0;4.0;2.0;3.0;2.0;4.0
"RELIGION";1;0;1;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;3;4;2;0;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;3;3;4;3;3;3;4;3;1;1;0;1;1;1;1;0;1;0;0;0;0;0;1;1;0.0;1.0;1.0;1.0;0.0;2.0;1.0;1.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
"SHOPPING";0;1;1;3;1;2;1;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;1;1;3;1;2;2;4;2;4;3;6;5;10;7;11;12;15;13;17;15;17;14;21;15;19;11;15;14;15;15;18;16;19;14;19;17;19;15;16.0;16.0;18.0;11.0;17.0;13.0;17.0;8.0;12.0;9.0;10.0;7.0;9.0;7.0;8.0;4.0;9.0;7.0;8.0;5.0;7.0;4.0;7.0;5.0;4.0;3.0;4.0;1.0;4.0;2.0;2.0;1.0;1.0;0.0;0.0
"SLEEP";59;46;49;51;54;56;51;54;52;58;51;70;41;65;33;51;94;31;19;19;7;9;4;4;3;1;1;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;1;1;2;2;2;1;2;2;3;1;3;2;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;2.0;1.0;5.0;2.0;6.0;6.0;19.0;13.0;23.0;18.0;40.0;29.0;40.0;38.0;54.0;46.0;53.0;50.0
