"CIVIC";3;5;2;4;1;4;2;5;2;3;1;1;0;2;1;1;0;5;4;3;2;2;4;4;2;2;3;6;3;7;7;12;8;11;9;11;8;10;9;11;9;10;9;9;9;10;8;10;9;8;8;8;8;8;9;9;10;10;12.0;14.0;12.0;11.0;11.0;11.0;9.0;10.0;9.0;11.0;9.0;8.0;8.0;8.0;7.0;8.0;7.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;5.0;4.0;5.0;4.0;5.0;3.0;4.0;3.0;3.0;2.0;3.0;2.0;5.0
"EATING_DRINKING";3;3;2;2;3;1;2;3;2;2;4;2;4;2;7;10;1;11;12;21;18;20;22;16;26;23;26;24;30;23;26;18;25;16;18;12;17;11;11;7;11;7;7;7;12;13;17;18;24;20;19;16;17;12;11;10;11;8;9.0;8.0;10.0;8.0;9.0;11.0;14.0;12.0;16.0;16.0;24.0;22.0;26.0;24.0;28.0;24.0;23.0;21.0;19.0;15.0;14.0;12.0;11.0;11.0;8.0;8.0;6.0;6.0;5.0;4.0;3.0;4.0;2.0;4.0;2.0;2.0;3.0;3.0
"EDUCATION";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"HOME JOB ACTIVITY";1;1;1;1;1;0;3;0;1;1;2;0;1;0;2;1;0;2;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0
"HOME LEISURE";8;8;7;9;7;10;6;6;6;5;6;6;5;2;6;5;0;5;5;4;7;11;9;8;7;8;7;8;6;6;5;5;5;6;6;5;5;6;5;5;5;5;5;4;5;4;3;4;4;4;5;5;6;5;6;6;6;7;7.0;7.0;7.0;8.0;7.0;8.0;7.0;8.0;7.0;7.0;7.0;7.0;6.0;7.0;7.0;9.0;10.0;10.0;13.0;14.0;15.0;18.0;19.0;19.0;20.0;22.0;21.0;22.0;19.0;22.0;18.0;18.0;15.0;17.0;12.0;14.0;12.0;12.0
"HOUSE ACTIVITY";10;11;12;14;9;10;10;5;10;7;11;5;13;8;12;5;1;11;9;12;19;11;17;18;22;15;19;14;19;14;16;12;17;12;15;11;15;10;12;11;11;10;11;8;9;7;8;7;6;6;7;6;6;7;6;7;7;8;8.0;7.0;7.0;7.0;8.0;8.0;9.0;8.0;7.0;7.0;7.0;8.0;7.0;7.0;6.0;6.0;5.0;6.0;6.0;6.0;6.0;7.0;8.0;8.0;9.0;12.0;11.0;12.0;14.0;16.0;13.0;15.0;14.0;17.0;14.0;14.0;11.0;13.0
"HOUSEHOLD MEMBER CARING";9;7;14;8;18;6;20;15;33;6;27;18;32;11;25;11;3;9;13;12;19;19;23;18;23;20;23;22;20;21;19;16;16;15;13;12;11;10;11;10;9;10;9;9;8;9;9;8;7;8;8;10;8;9;9;10;9;8;9.0;10.0;10.0;10.0;10.0;11.0;10.0;9.0;9.0;9.0;7.0;9.0;8.0;9.0;9.0;10.0;11.0;13.0;15.0;17.0;19.0;19.0;20.0;20.0;22.0;20.0;19.0;17.0;14.0;12.0;10.0;9.0;8.0;9.0;6.0;7.0;7.0;5.0
"RELIGION";1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;4;1;0;1;2;1;1;1;2;2;3;2;3;3;5;5;5;5;6;6;5;6;6;6;2;2;2;3;2;2;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0
"SHOPPING";5;4;6;4;3;7;6;11;2;3;2;3;2;0;2;3;0;6;10;8;5;5;4;8;6;8;5;7;5;7;5;9;7;11;11;16;15;22;19;26;24;28;27;31;27;33;29;29;24;30;27;28;29;32;31;32;29;30;28.0;27.0;27.0;28.0;27.0;26.0;25.0;28.0;27.0;24.0;20.0;22.0;19.0;20.0;17.0;17.0;17.0;15.0;14.0;15.0;14.0;14.0;11.0;12.0;11.0;9.0;8.0;8.0;8.0;7.0;5.0;4.0;5.0;5.0;4.0;4.0;4.0;5.0
"SLEEP";54;49;49;52;52;53;48;53;38;63;43;59;37;74;35;55;95;46;33;27;17;6;8;6;2;3;2;2;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;2;1;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;2.0;4.0;4.0;12.0;9.0;20.0;17.0;34.0;30.0;40.0;34.0;51.0;43.0;52.0;46.0
